Common Name,X,Y,Z
Sun,0,0,0
Proxima Centauri,2.94,-3.05,-0.14
Alpha Centauri A,3.13,-3.05,-0.05
Alpha Centauri B,3.13,-3.05,-0.05
Barnard's Star,4.97,2.99,1.45
WISEP J1541-2250,6.32,-1.53,3.08
Wolf 359,-1.9,-3.9,6.46
Lalande 21185,-3.44,-0.31,7.54
Sirius A,-5.76,-6.22,-1.33
Sirius B,-5.76,-6.22,-1.33
Luyten 726-8 A,-2.15,0.17,-8.46
Luyten 726-8 B,-2.15,0.17,-8.46
Ross 154,9.33,1.87,-1.73
WISEPC J2056+1459,4.34,8.16,-3.22
Ross 248,-3.37,9.27,-3
Epsilon Eridani,-6.74,-1.91,-7.79
Epsilon Eridani b,-6.74,-1.91,-7.79
Epsilon Eridani c,-6.75,-1.91,-7.8
Lacaille 9352,4.34,0.39,-9.76
Ross 128,0.01,-5.54,9.43
WISEP J1738+2732,6.11,7.73,5.08
Luyten 789-6 A,4.18,4.49,-9.44
Luyten 789-6 B,4.18,4.49,-9.44
Luyten 789-6 C,4.18,4.49,-9.44
61 Cygni A,1.52,11.22,-1.15
61 Cygni B,1.52,11.22,-1.16
Procyon A,-9.27,-6.18,2.58
Procyon B,-9.27,-6.18,2.58
HD 173739,0.13,10.44,4.7
HD 173740,0.13,10.44,4.7
Groombridge 34 A,-4.96,9.88,-3.69
Groombridge 34 B,-4.96,9.88,-3.69
Epsilon Indi,7.23,-3.19,-8.79
Epsilon Indi Ba,7.23,-3.19,-8.79
Epsilon Indi Bb,7.23,-3.19,-8.79
Gliese 1111,-9.55,-2.92,6.34
Tau Ceti,-3.37,0.41,-11.41
Luyten 372-58,-2.25,-6.87,-9.56
Luyten 725-32,-2.04,1.19,-11.89
Luyten's Star,-10.18,-6.45,2.21
WISEPC J1405+5534,-1.44,6.3,10.58
SCR J1845-6357 A,10.13,-5.5,-5.01
SCR J1845-6357 B,10.13,-5.5,-5.01
SO 025300.5+165258,-9.45,3.39,-7.57
Kapteyn's Star,-3.44,-9.73,-7.5
Lacaille 8760,9.19,0.63,-8.98
Kruger 60 A,-3.33,12.72,0
Kruger 60 B,-3.33,12.72,0
UGPS J072227.51-054031.2,-9.9,-8.77,0.99
Ross 614 A,-11.13,-7.21,-1.44
Ross 614 B,-11.13,-7.21,-1.44
Wolf 1061,12.72,0.75,5.59
Van Maanen's Star,-3.98,6.4,-11.82
HD 225213,3.31,-0.97,-13.73
Wolf 424 A,1.47,-4.32,13.55
Wolf 424 B,1.47,-4.32,13.55
Luyten 1159-16,-8.44,5.34,-10.52
DENIS-P 104814.7-395606,2.12,-13.87,4.31
BD+68 946,-1.88,12.41,7.83
LP 731-58,-1.74,-10.99,9.77
Gliese 1245 A,2.83,14.37,2.19
Gliese 1245 B,2.83,14.37,2.19
